25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
225
# a b m n r k err rhoa 
1	2	16	17	1.14117064871122e-02	9.18295369999295e+02	9.76293130330112e-02	1.04793172309061e+01
2	3	17	18	1.11331701598356e-02	9.18295369999295e+02	9.98216757350601e-02	1.02235386111913e+01
3	4	18	19	1.13318590161106e-02	9.18295369999295e+02	9.82467738592839e-02	1.04059936679791e+01
4	5	19	20	1.15911632208125e-02	9.18295369999295e+02	9.62726182825595e-02	1.06441115185782e+01
5	6	20	21	1.06179689060524e-01	1.17979390544309e+02	1.94179970656157e-02	1.25270150035448e+01
6	7	21	22	1.14436944843415e-02	9.18295369999295e+02	9.73843671174819e-02	1.05086916606573e+01
7	8	22	23	1.12089942452343e-02	9.18295369999295e+02	9.92140702476645e-02	1.02931675177474e+01
8	9	23	24	1.13681854394674e-02	9.18295369999295e+02	9.79647860535648e-02	1.04393520543563e+01
9	10	24	25	1.15781764475038e-02	9.18295369999295e+02	9.63693867971407e-02	1.06321858247776e+01
1	2	17	18	7.91273135295364e-03	1.44294421244800e+03	1.36378611303001e-01	1.14176299104003e+01
2	3	18	19	8.15356534339344e-03	1.44294421244800e+03	1.32645733232550e-01	1.17651399230662e+01
3	4	19	20	8.18427392614191e-03	1.44294421244800e+03	1.32185548653966e-01	1.18094506948156e+01
4	5	20	21	-1.90948195440957e-02	-7.78993434788562e+02	6.23702252168814e-02	1.48747390633229e+01
5	6	21	22	-1.79008551054603e-02	-7.78993434788563e+02	6.58632531300122e-02	1.39446486042549e+01
6	7	22	23	8.01404394351517e-03	1.44294421244800e+03	1.34780947926943e-01	1.15638183265992e+01
7	8	23	24	8.16606441290399e-03	1.44294421244800e+03	1.32458010301732e-01	1.17831753830774e+01
8	9	24	25	8.02451035309359e-03	1.44294421244800e+03	1.34618195503291e-01	1.15789207717255e+01
1	2	18	19	2.81033282788644e-03	1.13407944848297e+04	3.65829740192043e-01	3.18714070350305e+01
2	3	19	20	2.97876244224515e-03	1.13407944848297e+04	3.45709886031154e-01	3.37815326766318e+01
3	4	20	21	-2.46839424066730e-02	-5.02779790256318e+02	5.05121671216370e-02	1.24105873859261e+01
5	6	22	23	-2.45762527125471e-02	-5.02779790256317e+02	5.06896857587024e-02	1.23564431841007e+01
6	7	23	24	2.70720668475426e-03	1.13407944848297e+04	3.79384430687003e-01	3.07018746397553e+01
7	8	24	25	2.92581738993432e-03	1.13407944848297e+04	3.51784830263261e-01	3.31810937193861e+01
2	3	20	21	-2.35724505849689e-02	-5.18614330024727e+02	5.24224030673186e-02	1.22250106671646e+01
3	4	21	22	2.68503589517743e-03	6.71571716413824e+03	3.82434499589406e-01	1.80319416475704e+01
4	5	22	23	2.83785695239874e-03	6.71571716413824e+03	3.62378578897268e-01	1.90582446445933e+01
5	6	23	24	-2.41262586663974e-02	-5.18614330024727e+02	5.14486147159145e-02	1.25122234742770e+01
6	7	24	25	-9.51462417420057e-05	-5.28391522583616e+03	1.05201366243299e+01	5.02744675421672e-01
1	2	20	21	-1.83666293865205e-02	-7.27782609751511e+02	6.44465714941639e-02	1.33669134672607e+01
2	3	21	22	4.73550361592755e-03	2.74029021636987e+03	2.21170781632722e-01	1.29766542283104e+01
3	4	22	23	4.80127564363735e-03	2.74029021636987e+03	2.18277981566253e-01	1.31568886723544e+01
4	5	23	24	4.95905361998114e-03	2.74029021636987e+03	2.11651378797514e-01	1.35892461172879e+01
5	6	24	25	-1.87274367237337e-02	-7.27782609751511e+02	6.33975906447826e-02	1.36295027727552e+01
1	2	21	22	5.96720543104873e-03	2.10439096969375e+03	1.77582633370853e-01	1.25573332234064e+01
2	3	22	23	5.78468801263964e-03	2.10439096969375e+03	1.82870169975456e-01	1.21732452162945e+01
3	4	23	24	5.86163259544584e-03	2.10439096969375e+03	1.80600934759532e-01	1.23351667015188e+01
4	5	24	25	6.03037222038973e-03	2.10439096969375e+03	1.75827243071137e-01	1.26902608444802e+01
1	2	22	23	4.82941941564310e-03	2.74029021636987e+03	2.17064227381220e-01	1.32340107754335e+01
2	3	23	24	4.83069558258782e-03	2.74029021636987e+03	2.17009525420001e-01	1.32375078432265e+01
3	4	24	25	4.85281143272963e-03	2.74029021636987e+03	2.16066115253425e-01	1.32981116909968e+01
1	2	23	24	2.74541285548181e-03	6.71571716413824e+03	3.74243941672847e-01	1.84374162362050e+01
2	3	24	25	2.78981501828812e-03	6.71571716413824e+03	3.68446704689983e-01	1.87356086030882e+01
0
