25
# x y z 
-40	-40	0
-20	-40	0
0	-40	0
20	-40	0
40	-40	0
-40	-20	0
-20	-20	0
0	-20	0
20	-20	0
40	-20	0
-40	0	0
-20	0	0
0	0	0
20	0	0
40	0	0
-40	20	0
-20	20	0
0	20	0
20	20	0
40	20	0
-40	40	0
-20	40	0
0	40	0
20	40	0
40	40	0
251
# a b m n r k err rhoa 
9	10	22	23	3.14797603690084e-03	4.53631779393190e+04	3.27664425738289e-01	1.42802197110645e+02
10	11	23	24	-9.63614827047855e-02	-1.09195913662274e+03	2.03775904223435e-02	1.05222801458004e+02
11	12	24	25	-1.69083695334665e-02	-5.59500223701100e+03	6.91423080753419e-02	9.46023653639537e+01
1	2	15	16	-6.07370006521578e-02	-1.77368686699007e+03	2.64644284252201e-02	1.07728420397100e+02
2	3	16	17	1.84117871943562e-02	5.77177684979201e+03	6.43130327025793e-02	1.06268727091682e+02
3	4	17	18	1.83759706408032e-02	5.77177684979201e+03	6.44188940844047e-02	1.06062001937046e+02
4	5	18	19	1.85153980469627e-02	5.77177684979201e+03	6.40091008285961e-02	1.06866745812144e+02
5	6	19	20	-6.03467480028626e-02	-1.77368686699007e+03	2.65709012182821e-02	1.07036234398237e+02
6	7	20	21	-6.03190038606122e-02	-1.77368686699007e+03	2.65785231186981e-02	1.06987024977491e+02
7	8	21	22	1.84504755490117e-02	5.77177684979201e+03	6.41991450216883e-02	1.06492027641439e+02
8	9	22	23	1.83483788605366e-02	5.77177684979201e+03	6.45007276992075e-02	1.05902748338458e+02
9	10	23	24	1.84441160950467e-02	5.77177684979201e+03	6.42178326598452e-02	1.06455322292267e+02
10	11	24	25	-6.07459215588516e-02	-1.77368686699007e+03	2.64620105241335e-02	1.07744243292144e+02
1	2	16	17	2.85457455741194e-02	3.67318147999718e+03	4.50314899781996e-02	1.04853703975567e+02
2	3	17	18	2.83307017818388e-02	3.67318147999718e+03	4.52973960087725e-02	1.04063809100373e+02
3	4	18	19	2.83784228948340e-02	3.67318147999718e+03	4.52380399610593e-02	1.04239097408832e+02
4	5	19	20	2.84735260024363e-02	3.67318147999718e+03	4.51203430131708e-02	1.04588428382367e+02
5	6	20	21	2.28994789262874e-01	4.71917562177235e+02	1.43669115931370e-02	1.08066662700225e+02
6	7	21	22	2.84962255951859e-02	3.67318147999718e+03	4.50923667648441e-02	1.04671808106058e+02
7	8	22	23	2.83819781309858e-02	3.67318147999718e+03	4.52336259081342e-02	1.04252156436422e+02
8	9	23	24	2.82907530527769e-02	3.67318147999718e+03	4.53472386590234e-02	1.03917070168634e+02
9	10	24	25	2.84335389280242e-02	3.67318147999718e+03	4.51697339726641e-02	1.04441548601197e+02
1	2	17	18	1.84395308085912e-02	5.77177684979201e+03	6.42313147975592e-02	1.06428857042053e+02
2	3	18	19	1.84419172254921e-02	5.77177684979201e+03	6.42242971689358e-02	1.06442630907876e+02
3	4	19	20	1.84502788317776e-02	5.77177684979201e+03	6.41997228940336e-02	1.06490892233462e+02
4	5	20	21	-3.61084264439538e-02	-3.11597373915425e+03	3.76943666197186e-02	1.12512908561543e+02
5	6	21	22	-3.60021680563794e-02	-3.11597373915425e+03	3.77761049955103e-02	1.12181810216296e+02
6	7	22	23	1.84076409735610e-02	5.77177684979201e+03	6.43252664171528e-02	1.06244796030482e+02
7	8	23	24	1.83784829129264e-02	5.77177684979201e+03	6.44114552184640e-02	1.06076502211127e+02
8	9	24	25	1.84478403069586e-02	5.77177684979201e+03	6.42068872757314e-02	1.06476817612364e+02
1	2	18	19	3.06739554747396e-03	4.53631779393190e+04	3.36009471071807e-01	1.39146810030336e+02
2	3	19	20	3.15566092674582e-03	4.53631779393190e+04	3.26890826743930e-01	1.43150808136127e+02
3	4	20	21	-5.35489011457201e-02	-2.01111916102527e+03	2.86745195252233e-02	1.07693221146006e+02
5	6	22	23	-5.35460331742275e-02	-2.01111916102527e+03	2.86755197485164e-02	1.07687453313584e+02
6	7	23	24	3.10558507524003e-03	4.53631779393190e+04	3.32000517059643e-01	1.40879208373807e+02
7	8	24	25	3.14404077233696e-03	4.53631779393190e+04	3.28062033036773e-01	1.42623681003995e+02
1	2	19	20	-4.00493815406000e-03	-2.11356609033446e+04	2.59691745922781e-01	8.46470147630792e+01
2	3	20	21	-5.17372217230414e-02	-2.07445732009891e+03	2.93284441393699e-02	1.07326658324943e+02
3	4	21	22	4.41072298704084e-03	2.68628686565530e+04	2.36720200506380e-01	1.18484672281317e+02
4	5	22	23	4.44195811786102e-03	2.68628686565530e+04	2.35125940737492e-01	1.19323737498010e+02
5	6	23	24	-5.16823970512167e-02	-2.07445732009891e+03	2.93489477473154e-02	1.07212926883155e+02
6	7	24	25	-4.00011640977382e-03	-2.11356609033446e+04	2.59992724600868e-01	8.45451040108839e+01
